City,Ilocano-2021,Tagalog-2021,Ilocano-2016,Tagalog-2016,Ilocano-2011,Tagalog-2011,Ilocano-2006,Tagalog-2006
Toronto,9165,82185,7135,83230,5120,70465,4140,60435
Montreal,1650,10970,1720,10770,1400,9730,1125,8520
Calgary,3435,41375,2545,39285,1570,25680,810,14435
Ottawa,725,6440,575,6035,360,4875,290,3760
Edmonton,2280,35655,1680,32355,970,19965,780,10610
Winnipeg,1320,44670,1265,44445,880,32585,635,21970
Mississauga,755,18325,655,20325,545,19920,520,17890
Vancouver,1840,18675,1900,19435,1535,18805,1275,16080
Brampton,615,9905,500,10345,360,8785,220,7215
Hamilton,385,5095,300,4245,195,3640,170,2440
