Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Sum (Tagalog + Ilocano),"Ratio, Ilocano-Tagalog",Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
10001,Avalon,Newfoundland and Labrador,"81,781",5,6.113889534,45,55.02500581,50,0.111111111,0,0,45,55.02500581,25,30.56944767,15,18.3416686,45,55.02500581,30,36.68333721
10002,Cape Spear,Newfoundland and Labrador,"85,038",5,5.879724359,220,258.7078718,225,0.022727273,5,5.879724359,155,182.2714551,130,152.8728333,60,70.5566923,145,170.5120064,345,405.7009807
10003,Central Newfoundland,Newfoundland and Labrador,"74,122",5,6.745635574,75,101.1845336,80,0.066666667,5,6.745635574,5,6.745635574,75,101.1845336,35,47.21944902,25,33.72817787,100,134.9127115
10004,Labrador,Newfoundland and Labrador,"26,655",15,56.27462015,385,1444.381917,400,0.038961039,10,37.51641343,5,18.75820672,65,243.8566873,5,18.75820672,25,93.79103358,35,131.307447
10005,Long Range Mountains,Newfoundland and Labrador,"81,795",0,0,115,140.5953909,115,0,10,12.22568617,25,30.56421542,75,91.69264625,25,30.56421542,40,48.90274467,50,61.12843083
10006,St. John's East,Newfoundland and Labrador,"85,038",10,11.75944872,290,341.0240128,300,0.034482759,20,23.51889743,590,693.8074743,215,252.8281474,165,194.0309038,320,376.3023589,960,1128.907077
10007,Terra Nova—The Peninsulas,Newfoundland and Labrador,"76,121",5,6.568489641,50,65.68489641,55,0.1,0,0,5,6.568489641,45,59.11640677,5,6.568489641,40,52.54791713,40,52.54791713
11001,Cardigan,Prince Edward Island,"39,236",0,0,50,127.4339892,50,0,0,0,"1,615",4116.117851,140,356.8151697,75,191.1509838,90,229.3811805,95,242.1245795
11002,Charlottetown,Prince Edward Island,"38,809",10,25.76721894,220,566.8788168,230,0.045454545,15,38.65082842,"1,400",3607.410652,775,1996.959468,170,438.042722,265,682.831302,655,1687.752841
11003,Egmont,Prince Edward Island,"37,751",10,26.48936452,705,1867.500199,715,0.014184397,20,52.97872904,50,132.4468226,325,860.9043469,90,238.4042807,65,172.1808694,35,92.71277582
11004,Malpeque,Prince Edward Island,"38,535",5,12.97521733,190,493.0582587,195,0.026315789,5,12.97521733,175,454.1326067,145,376.2813027,20,51.90086934,130,337.3556507,40,103.8017387
12001,Acadie—Annapolis,Nova Scotia,"76,252",0,0,90,118.029691,90,0,0,0,50,65.57205057,80,104.9152809,45,59.01484551,130,170.4873315,80,104.9152809
12002,Cape Breton—Canso—Antigonish,Nova Scotia,"75,141",0,0,160,212.9330193,160,0,15,19.96247056,65,86.50403907,110,146.3914507,15,19.96247056,100,133.083137,155,206.2788624
12003,Central Nova,Nova Scotia,"76,210",0,0,155,203.3853825,155,0,5,6.56081879,35,45.92573153,40,52.48655032,25,32.80409395,100,131.2163758,130,170.5812885
12004,Cumberland—Colchester,Nova Scotia,"82,014",10,12.19304021,165,201.1851635,175,0.060606061,20,24.38608043,85,103.6408418,270,329.2120857,50,60.96520106,110,134.1234423,140,170.702563
